event,x,y,z,adc,zelem,layer
6,-31.3803,-0.12343,-73.4529,909.113,0,7
6,-31.3803,-0.11231,8.72662,226.156,0,7
6,-31.3783,-0.370617,136.214,537.391,0,7
6,-31.3783,-0.370636,179.467,491.092,0,7
6,-31.3325,-1.73503,141.884,159.441,0,7
6,-31.3242,-1.8793,-101.774,1172.74,0,7
6,-31.3009,-2.23377,-84.4223,551.826,0,7
6,-31.2668,-2.66898,172.66,1920.2,0,7
6,-31.0763,-4.35878,296.825,344.706,0,7
6,-31.0325,-4.66046,-91.2616,261.149,0,7
6,-30.9768,-5.01714,237.098,743.688,0,7
6,-30.9343,-5.273,135.146,1465.59,0,7
6,-30.9268,-5.31659,80.2241,92.9248,0,7
6,-30.7761,-6.12909,220.739,1467.11,0,7
6,-30.5895,-7.00126,279.862,1270.9,0,7
6,-30.5415,-7.20765,258.135,1193.93,0,7
6,-30.4063,-7.75829,118.271,399.445,0,7
6,-30.4214,-7.69899,221.828,18,0,7
6,-30.4214,-7.69898,258.076,39.3035,0,7
6,-30.2423,-8.37483,40.604,133.606,0,7
6,-30.0253,-9.12249,41.1387,2332.27,0,7
6,-27.7278,-14.6936,46.549,11941.1,0,7
6,-29.0468,-11.8751,-36.8777,1165.19,0,7
6,-28.9189,-12.1834,-100.744,3228.66,0,7
6,-28.8971,-12.235,276.45,1965.85,0,7
6,-28.7588,-12.5565,-104.764,597.695,0,7
6,-28.8287,-12.3953,114.359,492.297,0,7
6,-28.3321,-13.4918,115.583,1355.46,0,7
6,-28.3286,-13.499,209.561,3310.43,0,7
6,-27.881,-14.4009,76.3699,2725.56,0,7
6,-27.8731,-14.4162,-75.3858,356.092,0,7
6,-27.8126,-14.5325,305.733,667.096,0,7
6,-27.7178,-14.7126,186.312,486.202,0,7
6,-27.5716,-14.9847,103.426,2894.48,0,7
6,-27.4417,-15.2212,147.612,506.952,0,7
6,-27.0575,-15.8942,-100.202,752.445,0,7
6,-26.9221,-16.1225,298.322,367.056,0,7
6,-26.6147,-16.625,-67.6015,9744.1,0,7
6,-26.6498,-16.5687,222.888,118.157,0,7
6,-25.9208,-17.6876,126.636,255.19,0,7
6,-25.5203,-18.2607,50.2118,520.799,0,7
6,-25.0019,-18.9643,149.015,77.0345,0,7
6,-23.9361,-20.2928,130.824,7732.09,0,7
6,-24.2436,-19.9245,156.9,180.854,0,7
6,-24.1114,-20.0842,167.812,3290.05,0,7
6,-23.3681,-20.9444,-76.158,345.887,0,7
6,-23.1861,-21.1457,33.0321,419.925,0,7
6,-22.7385,-21.6262,-67.78,147.114,0,7
6,-22.4095,-21.9671,-100.28,1072.42,0,7
6,-22.4962,-21.8782,-67.9895,28.2604,0,7
6,-21.8614,-22.5125,231.048,1179.86,0,7
6,-21.3401,-23.0073,-64.0796,204.901,0,7
6,-20.7568,-23.5349,113.448,1334.66,0,7
6,-20.7282,-23.5601,293.592,1126.11,0,7
6,-20.6907,-23.593,83.3888,845.3,0,7
6,-20.2441,-23.9773,200.887,1107.38,0,7
6,-19.9346,-24.2352,-99.4341,2184.28,0,7
6,-19.8665,-24.2911,-33.597,368.12,0,7
6,-19.9245,-24.2436,-96.596,12.1987,0,7
6,-19.0285,-24.953,-76.2444,489.786,0,7
6,-18.8679,-25.0747,187.592,817.817,0,7
6,-17.6371,-25.9551,19.7355,2964.06,0,7
6,-17.3862,-26.1239,-36.8244,563.415,0,7
6,-17.5846,-25.9907,260.189,419.941,0,7
6,-16.7608,-26.5294,261.786,346.582,0,7
6,-16.5668,-26.651,-52.2385,397.369,0,7
6,-15.6528,-27.1979,285.305,1687.07,0,7
6,-15.4872,-27.2926,-50.9556,193.103,0,7
6,-14.7046,-27.722,-37.9096,444.715,0,7
6,-12.8014,-28.6507,217.933,4621.98,0,7
6,-13.9998,-28.0845,108.182,3178.81,0,7
6,-14.2309,-27.9682,154.412,19,0,7
6,-14.1284,-28.0201,248.977,410.48,0,7
6,-14.2309,-27.9682,296.028,15,0,7
6,-12.592,-28.7433,116.292,6278.13,0,7
6,-12.3335,-28.8552,-57.5451,189.782,0,7
6,-11.9589,-29.0124,-101.987,1238.95,0,7
6,-11.722,-29.1089,121.664,3335.78,0,7
6,-11.8359,-29.0628,152.146,521.539,0,7
6,-11.8509,-29.0567,203.5,508.912,0,7
6,-11.373,-29.2471,-79.5963,164.42,0,7
6,-8.37486,-30.2423,64.524,16.0277,0,7
6,-8.37486,-30.2423,129.524,170.91,0,7
6,-8.37486,-30.2423,183.719,153.9,0,7
6,-8.37486,-30.2423,198.763,55.45,0,7
6,-6.96261,-30.5983,166.864,684.568,0,7
6,-6.53879,-30.6917,139.336,1205.13,0,7
6,-6.46387,-30.7076,162.467,1361.59,0,7
6,-5.77528,-30.8445,43.1999,219.175,0,7
6,-3.96842,-31.1286,122.602,9570.81,0,7
6,-4.2934,-31.0854,229.071,965.917,0,7
6,-4.09599,-31.112,-39.356,24,0,7
6,-3.71412,-31.1599,201.017,1953.84,0,7
6,-2.8753,-31.2485,196.678,7106.33,0,7
6,-2.38402,-31.2898,126.481,370.619,0,7
6,-2.24234,-31.3003,-95.6531,889.807,0,7
6,-2.20008,-31.3033,153.364,165.109,0,7
6,-1.37608,-31.3503,74.4789,2299.07,0,7
6,-1.18001,-31.3583,-70.2579,679.594,0,7
6,-0.826212,-31.3696,133.282,2639.23,0,7
6,0.608514,-31.3746,155.633,528.676,0,7
6,0.673381,-31.3733,133.623,2908.36,0,7
6,0.758142,-31.3713,149.439,647.297,0,7
6,1.32342,-31.3526,62.7496,1872.32,0,7
6,1.99652,-31.3169,113.136,13336.1,0,7
6,1.98316,-31.3178,-96.2083,751.515,0,7
6,2.42286,-31.2868,286.342,1118.63,0,7
6,3.04373,-31.2325,120.443,542.517,0,7
6,3.96578,-31.1289,176.49,386.34,0,7
6,4.71396,-31.0244,100.732,1727.09,0,7
6,4.81961,-31.0082,204.917,266.959,0,7
6,4.72641,-31.0225,272.182,340.001,0,7
6,4.88497,-30.9979,216.394,743.602,0,7
6,5.44799,-30.904,204.362,235.941,0,7
6,5.85888,-30.8287,113.397,4393.88,0,7
6,5.66848,-30.8643,-105.437,129.332,0,7
6,5.64987,-30.8677,115.404,11.2065,0,7
6,5.84746,-30.8309,295.513,266.656,0,7
6,6.65911,-30.6658,-72.0911,118.429,0,7
6,6.99909,-30.59,304.784,463.093,0,7
6,7.35133,-30.5073,-46.8861,411.983,0,7
6,7.71357,-30.4177,-46.7995,127.903,0,7
6,7.69899,-30.4214,88.6833,63.8784,0,7
6,7.73406,-30.4125,94.3258,264.337,0,7
6,7.75708,-30.4066,112.022,136.113,0,7
6,7.69899,-30.4214,304.727,35.288,0,7
6,8.4679,-30.2164,88.473,123.836,0,7
6,8.5661,-30.1887,119.49,1953.91,0,7
6,8.57423,-30.1864,136.888,762.539,0,7
6,11.6913,-29.1213,304.526,4220.69,0,7
6,9.11292,-30.0282,181.997,1283.92,0,7
6,9.29297,-29.9729,193.681,123.155,0,7
6,9.73816,-29.8313,121.418,1037.07,0,7
6,9.8001,-29.811,-3.82593,942.096,0,7
6,9.91046,-29.7745,-68.7154,266.668,0,7
6,9.81229,-29.807,265.53,974.361,0,7
6,10.1194,-29.7041,89.424,839.825,0,7
6,10.3871,-29.6115,254.75,1543.26,0,7
6,10.5714,-29.5463,-70.2325,153.641,0,7
6,11.096,-29.3533,-69.9895,60.359,0,7
6,12.143,-28.9358,59.5038,734.672,0,7
6,12.6883,-28.7009,164.859,188.315,0,7
6,13.7479,-28.2087,-92.4956,406.665,0,7
6,14.8263,-27.6571,192.981,635.284,0,7
6,15.2238,-27.4403,304.266,533.596,0,7
6,15.4302,-27.3248,151.037,18261.4,0,7
6,15.5485,-27.2576,96.8144,514.59,0,7
6,15.8791,-27.0664,37.9116,831.532,0,7
6,15.9311,-27.0358,267.614,416.725,0,7
6,17.1126,-26.3039,304.227,6825.46,0,7
6,16.6242,-26.6152,239.667,1252.76,0,7
6,17.4034,-26.1124,122.467,917.459,0,7
6,18.12,-25.6203,121.322,224.361,0,7
6,18.5192,-25.3333,154.149,3065.26,0,7
6,18.5283,-25.3266,204.261,777.764,0,7
6,18.4657,-25.3723,246.004,1072.78,0,7
6,19.3515,-24.7034,104.63,421.31,0,7
6,19.3006,-24.7431,146.816,1142.32,0,7
6,20.8879,-23.4186,74.9749,1857.21,0,7
6,21.1965,-23.1397,189.051,512.005,0,7
6,21.2315,-23.1075,220.741,741.248,0,7
6,21.6262,-22.7385,305.688,119.361,0,7
6,21.8782,-22.4962,305.78,49.1265,0,7
6,22.7303,-21.6349,305.692,293.039,0,7
6,23.3066,-21.0128,6.40296,222.445,0,7
6,23.0555,-21.288,254.562,295.694,0,7
6,23.3992,-20.9097,305.635,1311.17,0,7
6,23.8705,-20.37,192.688,230.257,0,7
6,24.6423,-19.4291,-14.533,1002.45,0,7
6,24.8152,-19.2078,93.72,590.554,0,7
6,26.8524,-16.2384,-45.7675,7250.72,0,7
6,26.9515,-16.0734,213.205,1104.45,0,7
6,26.7428,-16.4182,-37.0034,1402,0,7
6,26.7838,-16.3513,164.932,2408.06,0,7
6,27.2499,-15.562,250.766,5218.17,0,7
6,26.7745,-16.3665,305.78,19,0,7
6,27.1164,-15.7936,235.471,877.125,0,7
6,27.3883,-15.3172,302.402,256.799,0,7
6,27.4812,-15.1499,115.804,219.486,0,7
6,27.3922,-15.3103,254.476,11.3304,0,7
6,27.812,-14.5337,224.236,729.295,0,7
6,28.189,-13.7883,229.678,934.675,0,7
6,28.7173,-12.6511,-36.7701,243.753,0,7
6,28.8171,-12.4222,-88.3912,903.704,0,7
6,29.0675,-11.8244,120.609,1175.25,0,7
6,29.5512,-10.5577,74.0742,675.959,0,7
6,29.618,-10.3687,-51.4224,581.592,0,7
6,30.0072,-9.18173,-105.129,4645.22,0,7
6,29.9653,-9.31754,305.78,36.9723,0,7
6,30.7098,-6.45323,18.7306,681.548,0,7
6,30.752,-6.24907,179.515,2749.4,0,7
6,30.7203,-6.40291,182.413,425.753,0,7
6,30.7567,-6.22566,248.76,1204.45,0,7
6,30.7859,-6.0796,-84.5722,1325.77,0,7
6,30.8428,-5.78401,265.85,3138.95,0,7
6,30.8022,-5.99648,84.4626,1796.62,0,7
6,30.8903,-5.52496,-54.2011,404.351,0,7
6,30.8602,-5.69053,19.1534,409.884,0,7
6,30.9843,-4.97111,-6.05944,218.19,0,7
6,31.0947,-4.22572,282.041,405.613,0,7
6,31.1564,-3.74372,129.169,2323.9,0,7
6,31.1804,-3.53818,180.379,1363.69,0,7
6,31.2053,-3.31178,153.414,1780.34,0,7
6,31.2431,-2.93287,-104.881,1702.54,0,7
6,31.2407,-2.95913,217.864,304.811,0,7
6,31.2396,-2.97028,278.51,110.512,0,7
6,31.2789,-2.52271,-39.264,270.17,0,7
6,31.3072,-2.14399,-28.3115,989.598,0,7
6,31.2955,-2.30767,285.466,1463.34,0,7
6,31.3445,-1.50173,-62.938,958.659,0,7
6,31.3804,0.0668594,27.3537,5545.58,0,7
6,31.3782,-0.380766,228.02,594.279,0,7
6,31.3805,0.0310074,-39.9263,548.275,0,7
6,31.3644,1.00485,213.987,1290.55,0,7
6,31.3804,0.0873848,35.7149,444,0,7
6,31.3752,0.575423,63.2799,344.338,0,7
6,31.3737,0.653552,300.432,197.809,0,7
6,31.257,2.78105,-100.447,673.278,0,7
6,31.1597,3.71629,-7.85409,1581.91,0,7
6,31.2169,3.20009,2.45258,226.326,0,7
6,31.1508,3.78984,1.76968,77.4426,0,7
6,31.1525,3.77627,27.974,103.812,0,7
6,31.0667,4.42695,71.5873,1561.65,0,7
6,31.1201,4.03416,19.8951,194.816,0,7
6,31.0988,4.195,11.0754,294.39,0,7
6,31.0811,4.32462,50.2093,502.524,0,7
6,31.0632,4.45156,166.458,1829.88,0,7
6,31.0655,4.43484,42.961,1548.11,0,7
6,31.0648,4.43994,78.9016,618.645,0,7
6,31.0597,4.47581,148.123,464.576,0,7
6,31.0507,4.53755,1.13359,536.729,0,7
6,31.0404,4.60783,27.5781,267.003,0,7
6,31.0509,4.53637,64.4308,500.601,0,7
6,31.0196,4.74575,133.05,522.999,0,7
6,31.0469,4.56376,164.413,1309.33,0,7
6,31.0112,4.80003,19.2769,137.15,0,7
6,31.0262,4.70234,85.4585,88.2022,0,7
6,30.9944,4.90767,-8.99565,494.995,0,7
6,30.9693,5.06331,10.2271,655.641,0,7
6,30.9831,4.97812,140.084,140.526,0,7
6,30.9663,5.08196,147.536,180.369,0,7
6,30.9588,5.12751,49.6809,570.027,0,7
6,30.9353,5.26704,0.527353,308.86,0,7
6,30.9392,5.24445,42.5044,560.242,0,7
6,30.9038,5.44874,85.0231,156.671,0,7
6,30.875,5.60968,-9.66043,560.374,0,7
6,30.7255,6.37796,68.6551,1572.45,0,7
6,30.7818,6.10038,-10.3658,287.696,0,7
6,30.6426,6.76526,215.84,733.089,0,7
6,30.779,6.11485,300.653,859.819,0,7
6,30.5625,7.11829,-69.1666,1262.08,0,7
6,30.195,8.54397,-64.7474,814.415,0,7
6,30.0946,8.89103,139.08,572.196,0,7
6,29.0549,11.8553,130.509,319.619,0,7
6,28.6634,12.7729,71.9792,933.796,0,7
6,28.7018,12.6863,101.007,1225.53,0,7
6,28.6293,12.849,296.392,1628.23,0,7
6,28.1553,13.8569,27.5634,2451.83,0,7
6,28.0234,14.1218,229.166,2630.17,0,7
6,27.9433,14.2795,-69.0511,459.659,0,7
6,27.9713,14.2247,-17.2508,84.6175,0,7
6,27.8568,14.4477,219.049,361.058,0,7
6,27.334,15.4138,130.438,1406.2,0,7
6,27.3247,15.4304,-97.9546,348.207,0,7
6,27.0755,15.8636,229.009,314.367,0,7
6,26.9237,16.1199,-79.9314,1143.71,0,7
6,26.4293,16.9182,-75.5822,484.804,0,7
6,25.9135,17.6982,-64.9739,484.686,0,7
6,25.4157,18.406,130.253,1154.71,0,7
6,24.9737,19.0014,160.12,864.341,0,7
6,24.7263,19.3222,-49.288,565.847,0,7
6,18.6846,25.2116,-102.956,28.1673,0,7
6,18.6846,25.2116,-86.1729,582.695,0,7
6,18.2607,25.5202,-102.939,808.19,0,7
6,18.2607,25.5202,-47.8888,333.11,0,7
6,18.2607,25.5202,239.046,257.951,0,7
6,17.9753,25.7221,-103.078,66.2374,0,7
6,17.9753,25.7221,155.434,64.5792,0,7
6,17.9753,25.7221,241.323,3349.75,0,7
6,12.4916,28.7871,261.644,160.504,0,7
6,7.54374,30.4603,-47.9004,865.253,0,7
6,7.60297,30.4455,123.931,346.965,0,7
6,7.64273,30.4356,154.327,395.182,0,7
6,6.27161,30.7474,-82.6597,687.299,0,7
6,4.63971,31.0356,-61.7176,3321.24,0,7
6,4.14952,31.1049,108.668,7686.81,0,7
6,2.12222,31.3087,163.112,801.353,0,7
6,1.61931,31.3387,29.1323,686.768,0,7
6,0.580063,31.3751,50.7835,4985.93,0,7
6,0.862481,31.3686,140.805,154.763,0,7
6,-0.956577,31.3659,224.77,1124.37,0,7
6,-0.986736,31.365,-59.5061,1393.61,0,7
6,-2.03061,31.3147,218.808,2152.37,0,7
6,-5.27157,30.9345,-86.5349,1938.56,0,7
6,-4.53664,31.0508,-66.9757,382.171,0,7
6,-4.44231,31.0645,222.676,15,0,7
6,-4.76107,31.0172,149.173,1346.23,0,7
6,-5.25023,30.9382,127.789,1479.48,0,7
6,-5.62208,30.8728,282.871,668.062,0,7
6,-6.18048,30.7658,-96.8031,283.637,0,7
6,-6.99344,30.5913,-87.7829,2026.54,0,7
6,-6.78952,30.6372,-53.5797,89.6538,0,7
6,-7.29317,30.5212,231.217,2831.38,0,7
