event,layer,phi,tbin,adc,zelem,x,y,z,plot_x,plot_y,plot_z
43,7,-3.13881,70,15,0,-31.3804,-0.0873833,-75.82,70,-6.99997,-0.0194925
43,7,-3.13881,71,180.273,0,-31.3804,-0.0873833,-75.396,71,-6.99997,-0.0194925
43,7,-3.13881,72,304.518,0,-31.3804,-0.0873833,-74.972,72,-6.99997,-0.0194925
43,7,-3.13881,73,214.594,0,-31.3804,-0.0873833,-74.548,73,-6.99997,-0.0194925
43,7,-3.13881,74,98.3562,0,-31.3804,-0.0873833,-74.124,74,-6.99997,-0.0194925
43,7,-3.13881,75,43.635,0,-31.3804,-0.0873833,-73.7,75,-6.99997,-0.0194925
43,7,-3.13881,76,13.8805,0,-31.3804,-0.0873833,-73.276,76,-6.99997,-0.0194925
43,7,-3.13324,71,17.0182,0,-31.3794,-0.262175,-75.396,71,-6.99976,-0.058483
43,7,-3.13324,72,40.3256,0,-31.3794,-0.262175,-74.972,72,-6.99976,-0.058483
43,7,-3.13324,73,23.0163,0,-31.3794,-0.262175,-74.548,73,-6.99976,-0.058483
43,7,-3.11096,120,18.091,0,-31.3658,-0.961215,-54.62,120,-6.99672,-0.214417
43,7,-3.11096,121,11.4082,0,-31.3658,-0.961215,-54.196,121,-6.99672,-0.214417
43,7,-3.10539,118,13.1435,0,-31.3599,-1.13591,-55.468,118,-6.99541,-0.253386
43,7,-3.10539,119,94.3637,0,-31.3599,-1.13591,-55.044,119,-6.99541,-0.253386
43,7,-3.10539,120,222.033,0,-31.3599,-1.13591,-54.62,120,-6.99541,-0.253386
43,7,-3.10539,121,138.804,0,-31.3599,-1.13591,-54.196,121,-6.99541,-0.253386
43,7,-3.10539,122,23.5586,0,-31.3599,-1.13591,-53.772,122,-6.99541,-0.253386
43,7,-3.09982,117,113.091,0,-31.3531,-1.31057,-55.892,117,-6.99389,-0.292348
43,7,-3.09982,118,200.138,0,-31.3531,-1.31057,-55.468,118,-6.99389,-0.292348
43,7,-3.09982,119,160.496,0,-31.3531,-1.31057,-55.044,119,-6.99389,-0.292348
43,7,-3.09982,120,97.6865,0,-31.3531,-1.31057,-54.62,120,-6.99389,-0.292348
43,7,-3.09982,121,52.4416,0,-31.3531,-1.31057,-54.196,121,-6.99389,-0.292348
43,7,-3.09982,122,15.2725,0,-31.3531,-1.31057,-53.772,122,-6.99389,-0.292348
43,7,-3.09425,117,35.0546,0,-31.3453,-1.48519,-55.892,117,-6.99216,-0.3313
43,7,-3.09425,118,63.6855,0,-31.3453,-1.48519,-55.468,118,-6.99216,-0.3313
43,7,-3.09425,119,38.7536,0,-31.3453,-1.48519,-55.044,119,-6.99216,-0.3313
43,7,-3.04411,486,13,0,-31.2315,-3.05407,100.564,486,-6.96677,-0.681266
43,7,-3.04411,487,12.2367,0,-31.2315,-3.05407,100.988,487,-6.96677,-0.681266
43,7,-3.04411,539,12.0004,0,-31.2315,-3.05407,123.036,539,-6.96677,-0.681266
43,7,-3.04411,540,13.2188,0,-31.2315,-3.05407,123.46,540,-6.96677,-0.681266
43,7,-3.04411,564,19.1286,0,-31.2315,-3.05407,133.636,564,-6.96677,-0.681266
43,7,-3.03854,486,173.055,0,-31.214,-3.22799,100.564,486,-6.96287,-0.720062
43,7,-3.03854,487,226.198,0,-31.214,-3.22799,100.988,487,-6.96287,-0.720062
43,7,-3.03854,488,35.8898,0,-31.214,-3.22799,101.412,488,-6.96287,-0.720062
43,7,-3.03854,539,174.061,0,-31.214,-3.22799,123.036,539,-6.96287,-0.720062
43,7,-3.03854,540,227.221,0,-31.214,-3.22799,123.46,540,-6.96287,-0.720062
43,7,-3.03854,541,35.9288,0,-31.214,-3.22799,123.884,541,-6.96287,-0.720062
43,7,-3.03854,564,22.5132,0,-31.214,-3.22799,133.636,564,-6.96287,-0.720062
43,7,-3.03297,485,14.9818,0,-31.1956,-3.4018,100.14,485,-6.95875,-0.758835
43,7,-3.03297,486,565.257,0,-31.1956,-3.4018,100.564,486,-6.95875,-0.758835
43,7,-3.03297,487,537.513,0,-31.1956,-3.4018,100.988,487,-6.95875,-0.758835
43,7,-3.03297,488,78.8985,0,-31.1956,-3.4018,101.412,488,-6.95875,-0.758835
43,7,-3.03297,489,20.819,0,-31.1956,-3.4018,101.836,489,-6.95875,-0.758835
43,7,-3.03297,490,17.8259,0,-31.1956,-3.4018,102.26,490,-6.95875,-0.758835
43,7,-3.03297,491,13.0437,0,-31.1956,-3.4018,102.684,491,-6.95875,-0.758835
43,7,-3.03297,492,12.4116,0,-31.1956,-3.4018,103.108,492,-6.95875,-0.758835
43,7,-3.03297,538,13.0003,0,-31.1956,-3.4018,122.612,538,-6.95875,-0.758835
43,7,-3.03297,539,567.237,0,-31.1956,-3.4018,123.036,539,-6.95875,-0.758835
43,7,-3.03297,540,536.532,0,-31.1956,-3.4018,123.46,540,-6.95875,-0.758835
43,7,-3.03297,541,77.8969,0,-31.1956,-3.4018,123.884,541,-6.95875,-0.758835
43,7,-3.03297,542,18.7993,0,-31.1956,-3.4018,124.308,542,-6.95875,-0.758835
43,7,-3.03297,543,14.7721,0,-31.1956,-3.4018,124.732,543,-6.95875,-0.758835
43,7,-3.03297,544,12.9414,0,-31.1956,-3.4018,125.156,544,-6.95875,-0.758835
43,7,-3.03297,545,13.3211,0,-31.1956,-3.4018,125.58,545,-6.95875,-0.758835
43,7,-3.0274,485,49,0,-31.1761,-3.57551,100.14,485,-6.95441,-0.797584
43,7,-3.0274,486,274.892,0,-31.1761,-3.57551,100.564,486,-6.95441,-0.797584
43,7,-3.0274,487,125.778,0,-31.1761,-3.57551,100.988,487,-6.95441,-0.797584
43,7,-3.0274,488,17.2981,0,-31.1761,-3.57551,101.412,488,-6.95441,-0.797584
43,7,-3.0274,538,49.9887,0,-31.1761,-3.57551,122.612,538,-6.95441,-0.797584
43,7,-3.0274,539,273.9,0,-31.1761,-3.57551,123.036,539,-6.95441,-0.797584
