
HepMC::Version 2.06.11
HepMC::IO_GenEvent-START_EVENT_LISTING
E 1 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 1 0 0 0 0
U GEV MM
H 1 1 8 8 0 0 0 7 0 3.3395211696624756e+00 2.7800419330596924e+00 3.5913765430450439e-01 4.2000000000000000e+01
V -1 0 0 0 0 0 2 127 0
P 10001 2212 0 0 1.0000000000000000e+02 1.0000000000000000e+02 0 101 0 0 -1 0
P 10002 3000001 0 0 -1.0000000000000000e+02 1.0000000000000000e+02 0 102 0 0 -1 0
P 10003 2212 8.7173974514007568e-01 -4.9953991174697876e-01 3.0691507339477539e+01 3.0722280502319336e+01 9.3831028306316555e-01 1 0 0 0 0
P 10004 -3222 -1.1051732115447521e-02 9.3310415744781494e-02 4.4226196408271790e-01 1.2724368572235107e+00 1.1893994014952782e+00 1 0 0 0 0
P 10005 3222 6.1897546052932739e-01 -2.8694078326225281e-02 6.8321585655212402e-01 1.5051270723342896e+00 1.1893988508321558e+00 1 0 0 0 0
P 10006 211 -2.8754687309265137e-01 -2.1328035742044449e-02 4.8112292289733887e+00 4.8218827247619629e+00 1.3960024461299742e-01 1 0 0 0 0
P 10007 -211 1.6663697361946106e-01 -1.4100709557533264e-01 6.1298356056213379e+00 6.1353092193603516e+00 1.3958432306448326e-01 1 0 0 0 0
P 10008 111 -9.7013108432292938e-02 -1.2299177050590515e-01 8.9508457183837891e+00 8.9532346725463867e+00 1.3503150949881632e-01 1 0 0 0 0
P 10009 211 4.9128610640764236e-02 -2.3146846890449524e-01 5.4599750041961670e-01 6.1122220754623413e-01 1.3959958471549724e-01 1 0 0 0 0
P 10010 -211 1.0280292481184006e-02 -1.1800772696733475e-01 1.1031311750411987e+00 1.1182208061218262e+00 1.3959897513404304e-01 1 0 0 0 0
P 10011 111 -5.5550105869770050e-02 -3.8594268262386322e-02 5.1170027256011963e-01 5.3351426124572754e-01 1.3499987485039383e-01 1 0 0 0 0
P 10012 211 -1.2176379561424255e-02 -8.1499405205249786e-03 4.6270474791526794e-02 1.4779743552207947e-01 1.3960100056861324e-01 1 0 0 0 0
P 10013 -211 1.2537804245948792e-01 2.9561400413513184e-02 -3.6487269401550293e-01 4.1135704517364502e-01 1.3960302951755807e-01 1 0 0 0 0
P 10014 111 5.7493364810943604e-01 2.4307978153228760e-01 -1.6732409596443176e-01 6.6019731760025024e-01 1.3500616711114286e-01 1 0 0 0 0
P 10015 111 -6.2664230354130268e-03 4.9002529121935368e-03 1.0128544270992279e-01 1.6895864903926849e-01 1.3500001349617502e-01 1 0 0 0 0
P 10016 321 -3.8358172774314880e-01 1.8529450893402100e-01 1.2112073898315430e+00 1.3755487203598022e+00 4.9360099675895208e-01 1 0 0 0 0
P 10017 -211 -1.0990735143423080e-01 1.8110932409763336e-01 -6.4277753233909607e-02 2.6172509789466858e-01 1.3960008643545088e-01 1 0 0 0 0
P 10018 211 -8.4314443171024323e-02 -2.7201399207115173e-01 -1.1936006695032120e-01 3.3887392282485962e-01 1.3960004576861451e-01 1 0 0 0 0
P 10019 211 2.0920892059803009e-01 -1.6663233935832977e-01 -9.4808940887451172e+00 9.4856929779052734e+00 1.3958452672659064e-01 1 0 0 0 0
P 10020 -211 -2.0502419769763947e-01 -3.7135541439056396e-02 9.8953628540039062e-01 1.0208255052566528e+00 1.3960186953964687e-01 1 0 0 0 0
P 10021 111 3.4224048256874084e-02 -1.2028324604034424e+00 6.6406197547912598e+00 6.7501144409179688e+00 1.3504452779021978e-01 1 0 0 0 0
P 10022 111 6.9181613624095917e-02 -1.1553901433944702e-01 4.0570029616355896e-01 4.4827795028686523e-01 1.3500011447413343e-01 1 0 0 0 0
P 10023 -211 -5.3506118059158325e-01 3.8098841905593872e-02 3.0293720960617065e-01 6.3166546821594238e-01 1.3960058037804299e-01 1 0 0 0 0
P 10024 111 2.3568445444107056e-01 -2.0254203677177429e-01 4.0646567940711975e-03 3.3883920311927795e-01 1.3500016818807997e-01 1 0 0 0 0
P 10025 -211 2.9106067493557930e-02 1.3886678218841553e-01 -2.0476055145263672e-01 2.8556293249130249e-01 1.3959999506282195e-01 1 0 0 0 0
P 10026 211 1.1567167937755585e-01 -2.6999853551387787e-02 -1.4360226392745972e+00 1.4476733207702637e+00 1.3959976238877445e-01 1 0 0 0 0
P 10027 111 1.0939303040504456e-01 -1.4117106795310974e-01 -2.6804658770561218e-01 3.4924215078353882e-01 1.3500000435210766e-01 1 0 0 0 0
P 10028 2212 9.6370488405227661e-02 1.9922865927219391e-01 -2.8563945770263672e+01 2.8580209732055664e+01 9.3830220718835333e-01 1 0 0 0 0
P 10029 111 -1.9363495707511902e-01 3.8525708019733429e-02 -5.3867468833923340e+00 5.3920540809631348e+00 1.3500555364231018e-01 1 0 0 0 0
P 10030 310 3.5449540615081787e-01 -1.6126111149787903e-03 -1.3190990686416626e-01 6.2512010335922241e-01 4.9770003676741920e-01 1 0 0 0 0
P 10031 111 -2.0914010703563690e-01 -1.7615266144275665e-01 -3.5381762981414795e+00 3.5512933731079102e+00 1.3499540972111287e-01 1 0 0 0 0
P 10032 22 3.0309864878654480e-01 1.6709318757057190e-01 -2.0525622367858887e-01 4.0239110589027405e-01 -6.6293885142037795e-04 1 0 0 0 0
P 10033 22 -2.4748547375202179e-01 1.7151379585266113e-01 -1.8578271567821503e-01 3.5380911827087402e-01 -6.0593663872238657e-04 1 0 0 0 0
P 10034 -211 -1.0398199409246445e-01 2.1443340182304382e-01 -7.8880894184112549e-01 8.3576416969299316e-01 1.3960036425903033e-01 1 0 0 0 0
P 10035 111 2.0115081965923309e-01 -2.7045860886573792e-01 -4.1493015289306641e+00 4.1651573181152344e+00 1.3499183420997404e-01 1 0 0 0 0
P 10036 2212 -2.6418396830558777e-01 1.5001270174980164e-01 -1.0153005218505859e+02 1.0153485107421875e+02 9.3924915930939445e-01 1 0 0 0 0
P 10037 211 7.6810806989669800e-02 -8.1527397036552429e-02 -4.2244716644287109e+01 4.2245098114013672e+01 1.4029857445886768e-01 1 0 0 0 0
P 10038 2112 -5.1926249265670776e-01 4.4806182384490967e-01 -4.5427689552307129e+00 4.6893486976623535e+00 9.3960017741185209e-01 1 0 0 0 0
P 10039 -2112 4.3203550577163696e-01 1.6302576661109924e-01 -2.7168085575103760e+00 2.9115509986877441e+00 9.3960012823088723e-01 1 0 0 0 0
P 10040 -211 -3.2128962874412537e-01 -1.6418682411313057e-02 -2.2953836917877197e+00 2.3220188617706299e+00 1.3960194562716080e-01 1 0 0 0 0
P 10041 111 2.2685545682907104e-01 3.7835487723350525e-01 -4.8871131896972656e+01 4.8873310089111328e+01 1.3524187115415384e-01 1 0 0 0 0
P 10042 2212 -4.1411513090133667e-01 8.3846533671021461e-03 -3.0082096099853516e+01 3.0099576950073242e+01 9.3833105485471924e-01 1 0 0 0 0
P 10043 321 7.2693601250648499e-02 1.9226832687854767e-01 2.2648513317108154e+00 2.3271129131317139e+00 4.9361066290007721e-01 1 0 0 0 0
P 10044 -211 -3.7584029138088226e-02 -3.3422255516052246e-01 2.2656114101409912e+00 2.2946915626525879e+00 1.3963176688577522e-01 1 0 0 0 0
