# file event_index_in_file north south fired
ang_run_7.dat 5 0 0 0
ang_run_7.dat 6 1 1 1
ang_run_7.dat 7 1 1 1
ang_run_7.dat 8 1 1 1
ang_run_7.dat 9 1 1 1
ang_run_7.dat 10 0 0 0
ang_run_7.dat 11 0 0 0
ang_run_7.dat 12 1 1 1
ang_run_7.dat 13 0 0 0
ang_run_7.dat 14 1 1 1
ang_run_7.dat 15 0 0 0
ang_run_7.dat 16 1 1 1
ang_run_7.dat 17 0 0 0
ang_run_7.dat 18 1 1 1
ang_run_7.dat 19 0 0 0
ang_run_7.dat 20 0 0 0
ang_run_7.dat 21 0 0 0
ang_run_7.dat 22 1 1 1
ang_run_7.dat 23 0 0 0
ang_run_7.dat 24 0 0 0
ang_run_7.dat 25 1 1 1
ang_run_7.dat 26 1 1 1
ang_run_7.dat 27 1 1 1
ang_run_7.dat 28 1 1 1
ang_run_7.dat 29 1 1 1
ang_run_7.dat 30 0 0 0
ang_run_7.dat 31 0 0 0
ang_run_7.dat 32 1 1 1
ang_run_7.dat 33 1 1 1
ang_run_7.dat 34 1 1 1
ang_run_7.dat 35 0 0 0
ang_run_7.dat 36 0 0 0
ang_run_7.dat 37 1 1 1
ang_run_7.dat 38 1 1 1
ang_run_7.dat 39 1 1 1
ang_run_7.dat 40 1 1 1
ang_run_7.dat 41 0 0 0
ang_run_7.dat 42 1 1 1
ang_run_7.dat 43 1 1 1
ang_run_7.dat 44 0 0 0
ang_run_7.dat 45 0 0 0
ang_run_7.dat 46 0 0 0
ang_run_7.dat 47 1 1 1
ang_run_7.dat 48 1 1 1
ang_run_7.dat 49 1 1 1
ang_run_7.dat 50 0 0 0
ang_run_7.dat 51 0 0 0
ang_run_7.dat 52 1 1 1
ang_run_7.dat 53 1 1 1
ang_run_7.dat 54 1 1 1
ang_run_7.dat 55 1 1 1
ang_run_7.dat 56 1 1 1
ang_run_7.dat 57 0 0 0
ang_run_7.dat 58 1 1 1
ang_run_7.dat 59 1 1 1
ang_run_7.dat 60 0 0 0
ang_run_7.dat 61 1 1 1
ang_run_7.dat 62 0 0 0
ang_run_7.dat 63 1 1 1
ang_run_7.dat 64 0 0 0
ang_run_7.dat 65 0 0 0
