# file event_index_in_file north south fired
pau_chunk_a.dat 114 2 1 1
pau_chunk_a.dat 115 0 1 0
pau_chunk_a.dat 116 0 5 0
pau_chunk_a.dat 117 1 7 1
pau_chunk_a.dat 118 1 5 1
pau_chunk_a.dat 119 0 0 0
pau_chunk_a.dat 120 0 0 0
pau_chunk_a.dat 121 1 5 1
pau_chunk_a.dat 122 0 9 0
pau_chunk_a.dat 123 2 4 1
pau_chunk_a.dat 124 0 0 0
pau_chunk_a.dat 125 0 0 0
pau_chunk_a.dat 126 0 1 0
pau_chunk_a.dat 127 0 2 0
pau_chunk_a.dat 128 1 8 1
pau_chunk_a.dat 129 0 0 0
pau_chunk_a.dat 130 1 0 0
pau_chunk_a.dat 131 0 3 0
pau_chunk_a.dat 132 0 2 0
pau_chunk_a.dat 133 2 7 1
pau_chunk_a.dat 134 1 1 1
pau_chunk_a.dat 135 1 0 0
pau_chunk_a.dat 136 0 3 0
pau_chunk_a.dat 137 1 5 1
pau_chunk_a.dat 138 0 3 0
pau_chunk_a.dat 139 1 0 0
pau_chunk_a.dat 140 0 2 0
pau_chunk_a.dat 141 0 6 0
pau_chunk_a.dat 142 1 0 0
pau_chunk_a.dat 143 1 0 0
pau_chunk_a.dat 144 0 0 0
pau_chunk_a.dat 145 1 0 0
pau_chunk_a.dat 146 1 1 1
pau_chunk_a.dat 147 0 0 0
pau_chunk_a.dat 148 1 4 1
pau_chunk_a.dat 149 0 1 0
pau_chunk_b.dat 0 0 0 0
pau_chunk_b.dat 1 0 0 0
pau_chunk_b.dat 2 0 3 0
pau_chunk_b.dat 3 1 4 1
pau_chunk_b.dat 4 0 3 0
pau_chunk_b.dat 5 1 0 0
pau_chunk_b.dat 6 1 0 0
pau_chunk_b.dat 7 1 1 1
pau_chunk_b.dat 8 1 6 1
pau_chunk_b.dat 9 1 1 1
pau_chunk_b.dat 10 1 2 1
pau_chunk_b.dat 11 1 1 1
pau_chunk_b.dat 12 2 1 1
pau_chunk_b.dat 13 1 4 1
pau_chunk_b.dat 14 0 0 0
pau_chunk_b.dat 15 0 1 0
pau_chunk_b.dat 16 1 1 1
pau_chunk_b.dat 17 2 1 1
pau_chunk_b.dat 18 2 1 1
pau_chunk_b.dat 19 0 0 0
pau_chunk_b.dat 20 1 6 1
pau_chunk_b.dat 21 1 0 0
pau_chunk_b.dat 22 0 0 0
pau_chunk_b.dat 23 0 1 0
pau_chunk_b.dat 24 1 0 0
pau_chunk_b.dat 25 1 4 1
pau_chunk_b.dat 26 0 0 0
pau_chunk_b.dat 27 0 1 0
pau_chunk_b.dat 28 0 1 0
pau_chunk_b.dat 29 0 1 0
pau_chunk_b.dat 30 2 2 1
pau_chunk_b.dat 31 0 2 0
pau_chunk_b.dat 32 0 0 0
pau_chunk_b.dat 33 1 1 1
pau_chunk_b.dat 34 0 0 0
pau_chunk_b.dat 35 4 1 1
pau_chunk_b.dat 36 0 1 0
pau_chunk_b.dat 37 0 0 0
pau_chunk_b.dat 38 1 2 1
pau_chunk_b.dat 39 2 2 1
pau_chunk_b.dat 40 0 5 0
pau_chunk_b.dat 41 0 1 0
pau_chunk_b.dat 42 2 0 0
pau_chunk_b.dat 43 0 8 0
pau_chunk_b.dat 44 0 6 0
pau_chunk_b.dat 45 0 2 0
pau_chunk_b.dat 46 1 0 0
pau_chunk_b.dat 47 2 2 1
pau_chunk_b.dat 48 1 1 1
pau_chunk_b.dat 49 0 1 0
pau_chunk_b.dat 50 0 2 0
pau_chunk_b.dat 51 0 2 0
pau_chunk_b.dat 52 0 4 0
pau_chunk_b.dat 53 0 2 0
pau_chunk_b.dat 54 1 0 0
pau_chunk_b.dat 55 0 0 0
pau_chunk_b.dat 56 2 1 1
pau_chunk_b.dat 57 1 4 1
pau_chunk_b.dat 58 0 4 0
pau_chunk_b.dat 59 0 2 0
pau_chunk_b.dat 60 0 1 0
pau_chunk_b.dat 61 0 6 0
pau_chunk_b.dat 62 0 3 0
pau_chunk_b.dat 63 4 0 0
pau_chunk_b.dat 64 1 7 1
pau_chunk_b.dat 65 1 3 1
pau_chunk_b.dat 66 0 0 0
pau_chunk_b.dat 67 0 2 0
pau_chunk_b.dat 68 2 1 1
pau_chunk_b.dat 69 0 3 0
pau_chunk_b.dat 70 2 2 1
pau_chunk_b.dat 71 1 4 1
pau_chunk_b.dat 72 0 0 0
pau_chunk_b.dat 73 1 3 1
pau_chunk_b.dat 74 0 1 0
pau_chunk_b.dat 75 0 4 0
pau_chunk_b.dat 76 0 2 0
pau_chunk_b.dat 77 1 0 0
pau_chunk_b.dat 78 2 0 0
pau_chunk_b.dat 79 0 1 0
pau_chunk_b.dat 80 1 2 1
pau_chunk_b.dat 81 0 3 0
pau_chunk_b.dat 82 0 3 0
pau_chunk_b.dat 83 0 0 0
pau_chunk_b.dat 84 2 4 1
pau_chunk_b.dat 85 1 9 1
pau_chunk_b.dat 86 0 3 0
pau_chunk_b.dat 87 0 4 0
pau_chunk_b.dat 88 1 8 1
pau_chunk_b.dat 89 0 1 0
pau_chunk_b.dat 90 0 2 0
pau_chunk_b.dat 91 0 2 0
pau_chunk_b.dat 92 1 0 0
pau_chunk_b.dat 93 2 2 1
pau_chunk_b.dat 94 0 3 0
pau_chunk_b.dat 95 1 3 1
pau_chunk_b.dat 96 0 0 0
pau_chunk_b.dat 97 0 4 0
pau_chunk_b.dat 98 1 4 1
pau_chunk_b.dat 99 1 2 1
pau_chunk_b.dat 100 2 0 0
pau_chunk_b.dat 101 0 1 0
pau_chunk_b.dat 102 0 1 0
pau_chunk_b.dat 103 0 1 0
pau_chunk_b.dat 104 1 1 1
pau_chunk_b.dat 105 0 1 0
pau_chunk_b.dat 106 0 2 0
pau_chunk_b.dat 107 2 4 1
pau_chunk_b.dat 108 0 0 0
pau_chunk_b.dat 109 0 4 0
pau_chunk_b.dat 110 1 0 0
pau_chunk_b.dat 111 1 2 1
pau_chunk_b.dat 112 0 2 0
pau_chunk_b.dat 113 0 0 0
pau_chunk_b.dat 114 1 3 1
pau_chunk_b.dat 115 1 4 1
pau_chunk_b.dat 116 1 0 0
pau_chunk_b.dat 117 0 0 0
pau_chunk_b.dat 118 0 1 0
pau_chunk_b.dat 119 1 4 1
pau_chunk_b.dat 120 3 5 1
pau_chunk_b.dat 121 1 1 1
pau_chunk_b.dat 122 1 1 1
pau_chunk_b.dat 123 0 3 0
pau_chunk_b.dat 124 1 0 0
