event,x,y,z,adc,zelem,layer
43,15.8647,-27.0748,-112.481,285.872,1,7
43,16.7872,-26.5128,57.0416,196.094,1,7
43,16.8659,-26.4628,-116.742,818.724,1,7
43,20.1777,-24.0332,-55.6663,530.738,1,7
43,19.9245,-24.2436,-158.488,36.3274,1,7
43,20.2689,-23.9564,17.0159,1329.32,1,7
43,20.4271,-23.8216,-18.1052,976.521,1,7
43,21.9566,-22.4197,-185.915,1136.04,1,7
43,21.9548,-22.4215,-208.383,1135.37,1,7
43,22.4964,-21.878,-73.5705,482.871,1,7
43,22.5147,-21.8591,-32.0137,1488.36,1,7
43,23.5952,-20.6882,77.7393,2042.56,1,7
43,24.4152,-19.7138,-263.254,464.785,1,7
43,24.7627,-19.2755,-66.0781,288.195,1,7
43,25.7221,-17.9753,-17.6127,191.344,1,7
43,28.46,-13.2197,44.3244,1350.53,1,7
43,28.3536,-13.4465,-83.0286,204.055,1,7
43,28.9204,-12.1797,50.0535,686.495,1,7
43,28.8596,-12.3232,-122.24,410.507,1,7
43,28.9138,-12.1955,12.9855,956.929,1,7
43,28.9401,-12.1329,-170.892,576.942,1,7
43,29.2383,-11.3955,-30.3442,817.407,1,7
43,29.4178,-10.9239,-115.003,447.779,1,7
43,29.7228,-10.0645,-109.343,1578.61,1,7
43,30.4236,-7.69044,-37.7198,735.213,1,7
43,30.6048,-6.93406,-283.592,558.873,1,7
43,30.6195,-6.86887,-262.431,397.648,1,7
43,30.7768,-6.1258,-24.8536,1158.86,1,7
43,30.8097,-5.95777,-13.4851,82.8816,1,7
43,30.9338,-5.27614,-19.4599,610.408,1,7
43,31.0228,-4.72469,-264.454,533.525,1,7
43,31.0413,-4.60135,37.931,599.166,1,7
43,31.0697,-4.40547,-72.1296,3298.21,1,7
43,31.2469,-2.8924,-47.9605,228.678,1,7
43,31.2936,-2.33396,-77.8169,1992.66,1,7
43,31.3216,-1.92138,-138.016,5104.25,1,7
43,31.3359,-1.67264,-71.6722,607.91,1,7
43,31.3408,-1.57876,-179.675,95.8958,1,7
43,31.3783,-0.369735,71.0558,285.963,1,7
43,31.3794,-0.262203,-200.628,26.157,1,7
43,31.2672,2.66403,-75.7911,844.908,1,7
43,31.1851,3.49612,-86.959,1023.78,1,7
43,30.6792,6.59707,-89.3002,1038.89,1,7
43,30.7962,6.0273,-128.297,3630.56,1,7
43,30.6492,6.73524,-58.6725,279.149,1,7
43,30.4214,7.69899,-33.1877,111.801,1,7
43,30.0982,8.87901,-3.04143,104.832,1,7
43,29.9708,9.29983,2.49291,163.922,1,7
43,29.0257,11.9268,97.1786,1216.59,1,7
43,28.6087,12.8949,91.9243,1252.77,1,7
43,28.4579,13.2244,-66.0259,1367.47,1,7
43,27.7265,14.6962,-29.3727,204.274,1,7
43,27.0395,15.9249,-27.6503,165.565,1,7
43,26.7815,16.355,73.073,3401.86,1,7
43,26.3896,16.9801,73.1426,358.646,1,7
43,26.3084,17.1057,-69.4251,571.419,1,7
43,25.8095,17.8496,-44.2878,762.897,1,7
43,25.6492,18.0792,76.5982,256.061,1,7
43,25.6825,18.0318,-145.093,579.723,1,7
43,25.6604,18.0632,-268.953,978.604,1,7
43,24.841,19.1745,-203.596,35.0728,1,7
43,23.8531,20.3903,-138.495,1465.9,1,7
43,23.6793,20.5918,-43.7928,171.82,1,7
43,23.2106,21.1188,97.0634,115.084,1,7
43,21.2257,23.1129,-233.807,1785.66,1,7
43,18.0945,25.6383,5.18054,924.776,1,7
43,17.4848,26.058,-74.3516,1106.18,1,7
43,16.3201,26.8028,-71.5554,333.503,1,7
43,15.2205,27.4422,-30.5978,181.048,1,7
43,14.9254,27.6038,94.245,753.158,1,7
43,13.9231,28.1227,-0.556051,353.607,1,7
43,13.2884,28.4281,-207.56,44.7681,1,7
43,12.6663,28.7107,-79.8309,793.268,1,7
43,11.554,29.176,42.592,1176.49,1,7
43,10.4701,29.5823,-25.6409,562.036,1,7
43,9.8695,29.7881,-236.917,736.802,1,7
43,9.2093,29.9987,-42.8391,398.256,1,7
43,6.50729,30.6984,-88.268,29.1253,1,7
43,5.93842,30.8135,-89.1826,239.716,1,7
43,4.8311,31.0064,-228.38,985.503,1,7
43,4.56057,31.0473,-204.478,610.164,1,7
43,3.61531,31.1715,-111.964,568.115,1,7
43,3.57264,31.1765,-219.088,1402.58,1,7
43,1.28399,31.3542,-272.865,4590.71,1,7
43,-3.02412,31.2344,-146.221,568.566,1,7
43,-3.37402,31.1986,-32.5111,298.645,1,7
43,-5.99339,30.8028,-247.566,1027.81,1,7
43,-6.50726,30.6984,-79.5721,72.7726,1,7
43,-7.69899,30.4214,88.8134,168.716,1,7
43,-8.54316,30.1952,-29.553,29.3235,1,7
43,-10.0716,29.7203,74.477,2161.71,1,7
43,-10.1138,29.706,-21.4233,700.072,1,7
43,-11.438,29.2217,-87.8719,544.585,1,7
43,-11.4842,29.2036,-127.025,545.02,1,7
43,-11.4859,29.2029,-149.488,546.846,1,7
43,-14.0976,28.0355,-52.4707,393.663,1,7
43,-15.8501,27.0834,-109.34,489.007,1,7
43,-16.6649,26.5898,-71.8229,1153.14,1,7
43,-17.0376,26.3525,-145.301,3899.91,1,7
43,-17.4728,26.066,-302.226,2414.9,1,7
43,-17.7743,25.8613,-68.713,558.42,1,7
43,-17.6915,25.9181,-76.0812,1293.22,1,7
43,-18.3346,25.4672,69.9587,375.148,1,7
43,-18.2072,25.5584,-200.261,222.306,1,7
43,-19.0676,24.9231,-86.8615,1590.8,1,7
43,-19.8655,24.292,87.3298,3049.58,1,7
43,-20.2529,23.9699,-109.872,1752.41,1,7
43,-21.105,23.2232,-179.484,590.749,1,7
43,-21.9039,22.4712,-11.0955,854.924,1,7
43,-23.0584,21.2849,-129.813,560.965,1,7
43,-23.1389,21.1973,-288.701,392.416,1,7
43,-23.4069,20.901,40.8476,499.929,1,7
43,-26.3694,17.0115,-146.785,1482.3,1,7
43,-26.4877,16.8267,-156.572,265.851,1,7
43,-26.9906,16.0077,-102.912,780.777,1,7
43,-27.6228,14.8902,-178.04,454.557,1,7
43,-27.7983,14.5599,25.5035,1860.98,1,7
43,-28.202,13.7616,-150.323,46.6913,1,7
43,-28.7645,12.5435,-60.0182,798.083,1,7
43,-29.041,11.8892,66.0924,173.888,1,7
43,-29.315,11.1968,-138.3,12,1,7
43,-29.3993,10.9736,-158.267,701.178,1,7
43,-29.5762,10.4873,-111.067,1145.92,1,7
43,-30.6984,6.50729,-74.9494,70.9015,1,7
43,-30.8028,5.99341,105.5,18,1,7
43,-30.8028,5.99341,-76.7779,221.251,1,7
43,-30.8987,5.47787,-150.059,788.814,1,7
43,-30.8987,5.47787,-171.828,393.144,1,7
43,-31.2636,2.70598,-155.339,236.557,1,7
43,-31.3045,2.18319,-33.9969,256.576,1,7
43,-31.3045,2.18319,-144.951,493.744,1,7
43,-31.3045,2.18319,-155.542,487.45,1,7
43,-31.3453,1.48522,-155.722,91.5344,1,7
43,-31.3453,1.48522,-192.355,31.3256,1,7
43,-31.3804,0.0874137,99.3279,595.157,1,7
43,-31.9141,-1.5554,-56.2048,159.441,0,8
43,-31.7899,-3.21458,101.091,563.834,0,8
43,-31.7903,-3.21026,123.55,567.008,0,8
43,-31.3986,-5.92077,291.714,177.288,0,8
43,-31.3454,-6.19657,-19.8891,835.624,0,8
43,-31.1633,-7.05528,128.537,408.039,0,8
43,-30.6835,-8.91369,17.8296,772.892,0,8
43,-30.6844,-8.91039,138.811,935.866,0,8
43,-29.7849,-11.5668,-76.0301,34.3781,0,8
43,-29.2119,-12.9459,-84.6961,279.442,0,8
43,-29.1865,-13.0029,197.232,101.498,0,8
43,-28.9479,-13.526,-12.4469,833.217,0,8
43,-28.9481,-13.5254,-24.4466,601.978,0,8
43,-28.3209,-14.7937,255.565,290.092,0,8
43,-28.3038,-14.8265,281.029,667.135,0,8
43,-27.471,-16.318,144.871,668.995,0,8
43,-27.4749,-16.3114,167.346,657.832,0,8
43,-23.6413,-21.4946,-42.1755,577.169,0,8
43,-23.5847,-21.5567,284.725,926.379,0,8
43,-21.577,-23.5661,21.4326,122.684,0,8
43,-20.7383,-24.3074,142.972,105.237,0,8
43,-20.1668,-24.7837,-64.1026,243.493,0,8
43,-18.4631,-26.0777,126.369,309.809,0,8
43,-16.8303,-27.1601,284.627,565.031,0,8
43,-14.1667,-28.6397,102.155,609.937,0,8
43,-13.9708,-28.7358,141.881,195.527,0,8
43,-13.6806,-28.8751,177.194,195.191,0,8
43,-12.6213,-29.3536,257.841,436.538,0,8
43,-8.52738,-30.7931,76.2977,232.397,0,8
43,-8.52738,-30.7931,289.037,59.5966,0,8
43,-6.81511,-31.2167,234.64,868.116,0,8
43,-6.28308,-31.3282,171.297,2830.73,0,8
43,-5.06976,-31.5472,86.2807,1975.84,0,8
43,-4.99068,-31.5598,-32.282,422.194,0,8
43,-3.69996,-31.7371,65.8883,458.812,0,8
43,-2.63748,-31.843,47.3435,278.088,0,8
43,-2.63735,-31.843,70.9104,805.146,0,8
43,-1.5932,-31.9123,29.7805,2565.67,0,8
43,-1.42518,-31.9202,187.004,338.992,0,8
43,-0.944684,-31.938,-101.904,1023.81,0,8
43,1.16625,-31.9307,-78.4556,330.533,0,8
43,3.22666,-31.7887,184.415,227.558,0,8
43,4.61919,-31.6163,302.716,246.363,0,8
43,7.13407,-31.1454,59.183,697.648,0,8
43,8.93351,-30.6777,-21.9038,485.03,0,8
43,10.5638,-30.1552,28.624,425.031,0,8
43,11.3231,-29.8784,-102.156,658.124,0,8
43,10.7826,-30.0777,229.532,1728,0,8
43,10.7329,-30.0954,232.428,12.01,0,8
43,11.7111,-29.7284,294.615,221.73,0,8
43,13.264,-29.0688,79.5524,539.661,0,8
43,13.2679,-29.067,136.578,407.7,0,8
43,13.2661,-29.0679,159.043,400.458,0,8
43,13.4229,-28.9958,-63.0434,222.513,0,8
43,13.6914,-28.87,120.116,78.2691,0,8
43,13.6914,-28.87,142.59,75.2878,0,8
43,14.0184,-28.7126,9.1758,521.907,0,8
43,15.774,-27.7869,-56.5038,115.076,0,8
43,16.3833,-27.432,-46.06,705.842,0,8
43,17.7661,-26.5574,11.4618,2605.01,0,8
43,17.4067,-26.7943,80.4192,1492.15,0,8
43,18.6918,-25.9142,-43.1311,608.639,0,8
43,18.6928,-25.9135,143.143,253.706,0,8
43,20.7969,-24.2574,-4.44618,606.668,0,8
43,23.9378,-21.1639,270.665,706.228,0,8
43,24.1371,-20.9364,183.153,279.001,0,8
43,24.1328,-20.9413,205.603,264.005,0,8
43,24.3641,-20.6717,291.547,135.607,0,8
43,24.7077,-20.2598,22.4995,146.062,0,8
43,24.8067,-20.1385,169.626,7555.3,0,8
43,24.8033,-20.1427,215.365,510.157,0,8
43,24.8473,-20.0884,156.538,741.08,0,8
43,25.2309,-19.6044,27.6863,739.208,0,8
43,25.4609,-19.3047,69.3733,377.586,0,8
43,26.2185,-18.2626,87.2627,378.995,0,8
43,26.2851,-18.1665,64.1521,2113.75,0,8
43,26.8038,-17.3921,105.017,1353.9,0,8
43,27.6255,-16.0551,-9.71974,140.314,0,8
43,27.5368,-16.2067,280.596,184.958,0,8
43,27.8561,-15.6514,161.703,179.66,0,8
43,29.0756,-13.2492,26.1901,178.584,0,8
43,29.0795,-13.2407,110.839,568.068,0,8
43,29.6058,-12.0177,138.542,302.296,0,8
43,30.6213,-9.12517,170.135,455.27,0,8
43,30.6564,-9.00646,-52.2162,840.431,0,8
43,30.6962,-8.86989,135.8,196.157,0,8
43,30.9941,-7.76509,-93.6694,171.435,0,8
43,31.0164,-7.67531,-38.7235,1141.71,0,8
43,31.0988,-7.33461,287.026,198.761,0,8
43,31.5401,-5.11376,125.954,723.127,0,8
43,31.9486,-0.463286,158.503,639.521,0,8
43,31.9519,-0.0704825,280.325,325.772,0,8
43,31.9345,1.05774,71.8395,177.398,0,8
43,31.8898,1.99329,-78.6556,731.535,0,8
43,31.4162,5.82673,-70.9298,664.35,0,8
43,30.7242,8.77223,-97.8438,251.246,0,8
43,29.6969,11.7908,135.912,187.083,0,8
43,29.6098,12.0078,52.3844,276.478,0,8
43,28.5922,14.2624,264.142,508.303,0,8
43,27.9386,15.5037,286.066,182.05,0,8
43,27.0858,16.9497,274.545,1721.87,0,8
43,25.3464,19.4548,196.283,282.147,0,8
43,23.3965,21.7608,-105.5,75,0,8
43,23.3965,21.7608,273.284,484.56,0,8
43,22.9059,22.2767,7.57061,144.711,0,8
43,21.2342,23.8755,168.202,54.5076,0,8
43,21.2342,23.8755,180.263,400.917,0,8
43,21.2342,23.8755,301.177,582.052,0,8
43,11.5668,29.7849,271.435,65.1519,0,8
43,7.48705,31.0624,285.571,163.424,0,8
43,5.70164,31.4392,134.346,535.162,0,8
43,4.44208,31.6417,124.871,1021.87,0,8
43,2.86376,31.8234,-104.099,415.913,0,8
43,1.66367,31.9087,65.7449,2517.43,0,8
43,1.09928,31.9331,98.1167,455.627,0,8
43,1.09864,31.9331,120.585,444.075,0,8
43,-4.14319,31.6822,10.1937,201.764,0,8
43,-4.17253,31.6784,186.677,406.008,0,8
43,-4.53536,31.6285,177.544,160.327,0,8
43,-4.53391,31.6287,200.018,164.424,0,8
43,-8.73601,30.7345,133.983,111.742,0,8
43,-12.5666,29.377,-33.8637,494.516,0,8
43,-13.003,29.1865,177.339,958.838,0,8
43,-13.0007,29.1875,199.809,953.379,0,8
43,-13.3303,29.0385,225.827,178.286,0,8
43,-16.2203,27.5288,56.1981,511.699,0,8
43,-16.6177,27.2907,-32.0523,806.162,0,8
