$p_{T}$ [GeV/c]
10
p, d+Au minbias
p, p+p NSD
p, d+Au 0-20$\%$
p, d+Au 20-40$\%$
p, d+Au 40-100$\%$
$\bar{p}$, d+Au minbias
$\bar{p}$, p+p NSD
$\bar{p}$, d+Au 0-20$\%$
$\bar{p}$, d+Au 20-40$\%$
$\bar{p}$, d+Au 40-100$\%$
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
no
none
none
2
stat
symmetric
syst
symmetric
2.25e+00	6.31e-04	7.57e-05	5.05e-05
2.75e+00	1.62e-04	4.14e-05	1.29e-05
3.50e+00	'-'		'-'		'-'
***
4.68e-01	1.22e-01	7.62e-03	1.59e-02
5.63e-01	1.08e-01	5.87e-03	1.40e-02
6.61e-01	8.86e-02	4.69e-03	1.15e-02
7.59e-01	6.40e-02	3.47e-03	8.32e-03
8.58e-01	5.51e-02	3.04e-03	7.16e-03
9.57e-01	3.80e-02	2.30e-03	4.94e-03
1.06e+00	3.27e-02	1.41e-03	2.62e-03
1.16e+00	2.36e-02	1.12e-03	1.89e-03
1.31e+00	1.55e-02	6.16e-04	1.24e-03
1.50e+00	8.00e-03	4.04e-04	6.40e-04
1.70e+00	4.78e-03	2.97e-04	3.82e-04
1.90e+00	2.56e-03	2.04e-04	2.05e-04
2.25e+00	1.06e-03	7.97e-05	8.49e-05
2.75e+00	3.32e-04	4.61e-05	2.66e-05
3.50e+00	7.89e-05	1.53e-05	6.31e-06
***
4.68e-01	3.74e-02	2.60e-03	4.86e-03
5.63e-01	2.84e-02	1.77e-03	3.70e-03
6.61e-01	2.27e-02	1.38e-03	2.96e-03
7.59e-01	1.32e-02	8.65e-04	1.71e-03
8.58e-01	1.05e-02	7.20e-04	1.37e-03
9.57e-01	7.17e-03	5.40e-04	9.32e-04
1.06e+00	5.60e-03	3.77e-04	4.48e-04
1.16e+00	3.74e-03	2.86e-04	2.99e-04
1.31e+00	2.31e-03	1.49e-04	1.84e-04
1.50e+00	9.69e-04	8.84e-05	7.75e-05
1.70e+00	5.95e-04	6.65e-05	4.76e-05
1.90e+00	3.57e-04	4.79e-05	2.86e-05
2.25e+00	1.12e-04	1.90e-05	8.93e-06
2.75e+00	3.87e-05	1.07e-05	3.10e-06
3.50e+00	'-'		'-'		'-'
***
4.68e-01	2.57e-01	2.17e-02	3.34e-02
